threshold,precision,recall,f1,accuracy,flagged,flag_rate,tp,fp,fn,tn,model,total_cost_pence,total_cost_gbp
0.01,0.16700542005420055,0.9949545913218971,0.28600435097897026,0.18896210873146624,5904,0.972652388797364,986,4918,5,161,logistic regression,16001136.399999999,160011.36399999997
0.02,0.17071042066678305,0.9868819374369324,0.2910714285714286,0.21515650741350906,5729,0.9438220757825371,978,4751,13,328,logistic regression,15866144.2,158661.44199999998
0.03,0.17509025270758122,0.9788092835519677,0.2970448629612617,0.24365733113673804,5540,0.9126853377265239,970,4570,21,509,logistic regression,15717110.0,157171.1
0.04,0.18245814307458144,0.9677093844601413,0.3070273731391068,0.28682042833607907,5256,0.8658978583196046,959,4297,32,782,logistic regression,15487990.6,154879.906
0.05,0.1935549663471344,0.9576185671039354,0.32202239565659996,0.3416803953871499,4903,0.8077429983525536,949,3954,42,1125,logistic regression,15184597.6,151845.976
0.06,0.20148763946619996,0.929364278506559,0.33117583603020495,0.3871499176276771,4571,0.7530477759472817,921,3650,70,1429,logistic regression,14993466.399999999,149934.664
0.07,0.21376211870418538,0.9122098890010091,0.346360153256705,0.43789126853377264,4229,0.6967051070840198,904,3325,87,1754,logistic regression,14736572.6,147365.726
0.08,0.22657054582904224,0.887991927346115,0.36102564102564105,0.4868204283360791,3884,0.6398682042833608,880,3004,111,2075,logistic regression,14512136.0,145121.36
0.09,0.23744419642857142,0.858728557013118,0.3720218579234973,0.5266886326194399,3584,0.5904448105436574,851,2733,140,2346,logistic regression,14358167.399999999,143581.674
0.1,0.24727602905569007,0.8244197780020182,0.38044237485448196,0.5616144975288303,3304,0.544316309719934,817,2487,174,2592,logistic regression,14249591.799999999,142495.91799999998
0.11,0.257029440952696,0.7840565085771948,0.38714499252615847,0.5947281713344317,3023,0.4980230642504119,777,2246,214,2833,logistic regression,14170412.8,141704.128
0.12,0.27059248554913296,0.7558022199798183,0.3985102420856611,0.6275123558484349,2768,0.45601317957166393,749,2019,242,3060,logistic regression,14056512.6,140565.126
0.13,0.2818396226415094,0.7235116044399597,0.40565770862800565,0.6538714991762767,2544,0.4191103789126853,717,1827,274,3252,logistic regression,13993971.8,139939.718
0.14,0.29327126534066866,0.6992936427850656,0.41323792486583183,0.6757825370675453,2363,0.38929159802306423,693,1670,298,3409,logistic regression,13934027.2,139340.272
0.15,0.30456852791878175,0.6659939455095862,0.41798606713109565,0.6971993410214168,2167,0.357001647446458,660,1507,331,3572,logistic regression,13904637.0,139046.37
0.16,0.31495280675608545,0.6397578203834511,0.422103861517976,0.714003294892916,2013,0.33163097199341024,634,1379,357,3700,logistic regression,13881906.6,138819.066
0.17,0.33043478260869563,0.6135216952573158,0.42953020134228187,0.7339373970345964,1840,0.3031301482701812,608,1232,383,3847,logistic regression,13840119.2,138401.19199999998
0.18,0.33548009367681497,0.5782038345105953,0.4246017043349389,0.744151565074135,1708,0.2813838550247117,573,1135,418,3944,logistic regression,13885054.2,138850.542
0.19,0.34585987261146495,0.5479313824419778,0.42405310425614995,0.757001647446458,1570,0.2586490939044481,543,1027,448,4052,logistic regression,13898638.2,138986.38199999998
0.2,0.35906271536871126,0.5257315842583249,0.4266994266994267,0.7693574958813838,1451,0.23904448105436574,521,930,470,4149,logistic regression,13890746.399999999,138907.46399999998
0.21,0.37333333333333335,0.508577194752775,0.43058521999145666,0.7803953871499176,1350,0.22240527182866557,504,846,487,4233,logistic regression,13875575.6,138755.756
0.22,0.37756714060031593,0.48234106962663975,0.42357111209570225,0.785667215815486,1266,0.2085667215815486,478,788,513,4291,logistic regression,13923055.2,139230.552
0.23,0.38287153652392947,0.4601412714429869,0.41796516956920254,0.7907742998352554,1191,0.19621087314662272,456,735,535,4344,logistic regression,13959295.399999999,139592.954
0.24,0.3895985401459854,0.4308779011099899,0.40919980833732633,0.7968698517298188,1096,0.18056013179571664,427,669,564,4410,logistic regression,14010941.8,140109.418
0.25,0.396871945259042,0.40968718466195764,0.4031777557100298,0.8019769357495882,1023,0.1685337726523888,406,617,585,4462,logistic regression,14044121.399999999,140441.21399999998
0.26,0.4147121535181237,0.39253279515640765,0.4033177812337999,0.8103789126853377,938,0.15453047775947282,389,549,602,4530,logistic regression,14044998.6,140449.986
0.27,0.41818181818181815,0.3713420787083754,0.39337252805986106,0.8130148270181219,880,0.14497528830313014,368,512,623,4567,logistic regression,14093223.2,140932.232
0.28,0.41807228915662653,0.3501513622603431,0.3811092806150467,0.814332784184514,830,0.13673805601317957,347,483,644,4596,logistic regression,14149471.8,141494.718
0.29,0.425997425997426,0.3340060544904137,0.3744343891402715,0.8177924217462933,777,0.12800658978583196,331,446,660,4633,logistic regression,14177378.4,141773.784
0.3,0.43532684283727396,0.3158425832492432,0.36608187134502923,0.8214168039538715,719,0.1184514003294893,313,406,678,4673,logistic regression,14210403.2,142104.032
