Invoice,customer_id,order_date,split,returned,order_value,log_order_value,n_lines,total_quantity,mean_unit_price,max_unit_price,price_vs_sku_mean,hour_of_day,day_of_week,is_uk,customer_prior_orders,customer_prior_returns,customer_prior_return_rate,customer_tenure_days,is_new_customer,basket_sku_return_rate,basket_max_sku_return_rate
SYN000000,4417.0,2009-12-01 00:50:00,train,0,348.7,5.857076,23,1016.0,0.34,0.7,0.0738,8,1,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000001,3956.0,2009-12-01 04:22:00,train,0,1051.24,6.958677,13,50.0,21.02,58.32,4.0042,10,1,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000002,5051.0,2009-12-01 17:45:00,train,0,459.47,6.132248,30,214.0,2.15,11.87,0.5935,15,1,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000003,2475.0,2009-12-01 20:10:00,train,0,92.16,4.534318,21,132.0,0.7,2.22,0.2043,14,1,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000004,3847.0,2009-12-01 23:39:00,train,0,181.82,5.208502,21,68.0,2.67,3.1,0.5796,9,1,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000005,5562.0,2009-12-02 03:12:00,train,0,162.37,5.096018,23,1027.0,0.16,0.31,0.0327,12,2,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000006,5192.0,2009-12-02 08:51:00,train,0,114.92,4.7529,18,94.0,1.22,6.91,0.2956,14,2,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000007,3225.0,2009-12-02 11:08:00,train,1,388.75,5.965506,32,61.0,6.37,24.38,1.5786,17,2,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000008,3891.0,2009-12-02 12:31:00,train,0,223.91,5.4157,20,132.0,1.7,8.28,0.3042,12,2,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000009,587.0,2009-12-02 17:12:00,train,0,582.26,6.368633,15,65.0,8.96,32.89,2.1348,13,2,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000010,3877.0,2009-12-02 17:30:00,train,0,547.26,6.30675,24,225.0,2.43,3.52,0.6801,18,2,1,0,0,-1.0,0.0,1,0.0,0.0
